smith	1.006	1.006	1
johnson	0.81	1.816	2
williams	0.699	2.515	3
jones	0.621	3.136	4
brown	0.621	3.757	5
davis	0.48	4.237	6
miller	0.424	4.66	7
wilson	0.339	5	8
moore	0.312	5.312	9
taylor	0.311	5.623	10
anderson	0.311	5.934	11
thomas	0.311	6.245	12
jackson	0.31	6.554	13
white	0.279	6.834	14
harris	0.275	7.109	15
martin	0.273	7.382	16
thompson	0.269	7.651	17
garcia	0.254	7.905	18
martinez	0.234	8.14	19
robinson	0.233	8.372	20
clark	0.231	8.603	21
rodriguez	0.229	8.832	22
lewis	0.226	9.058	23
lee	0.22	9.278	24
walker	0.219	9.497	25
hall	0.2	9.698	26
allen	0.199	9.897	27
young	0.193	10.09	28
hernandez	0.192	10.282	29
king	0.19	10.472	30
wright	0.189	10.662	31
lopez	0.187	10.849	32
hill	0.187	11.035	33
scott	0.185	11.22	34
green	0.183	11.403	35
adams	0.174	11.577	36
baker	0.171	11.748	37
gonzalez	0.166	11.915	38
nelson	0.162	12.077	39
carter	0.162	12.239	40
mitchell	0.16	12.399	41
perez	0.155	12.554	42
roberts	0.153	12.707	43
turner	0.152	12.859	44
phillips	0.149	13.008	45
campbell	0.149	13.157	46
parker	0.146	13.302	47
evans	0.141	13.443	48
edwards	0.137	13.58	49
collins	0.134	13.714	50
stewart	0.133	13.847	51
sanchez	0.13	13.977	52
morris	0.125	14.102	53
rogers	0.123	14.225	54
reed	0.122	14.347	55
cook	0.12	14.467	56
morgan	0.118	14.585	57
bell	0.117	14.702	58
murphy	0.117	14.819	59
bailey	0.115	14.934	60
rivera	0.113	15.047	61
cooper	0.113	15.16	62
richardson	0.112	15.272	63
cox	0.11	15.382	64
howard	0.11	15.492	65
ward	0.108	15.6	66
torres	0.108	15.708	67
peterson	0.107	15.815	68
gray	0.106	15.921	69
ramirez	0.105	16.026	70
james	0.105	16.131	71
watson	0.103	16.233	72
brooks	0.103	16.336	73
kelly	0.102	16.438	74
sanders	0.1	16.537	75
price	0.099	16.637	76
bennett	0.099	16.736	77
wood	0.098	16.834	78
barnes	0.097	16.931	79
ross	0.096	17.027	80
henderson	0.095	17.122	81
coleman	0.095	17.217	82
jenkins	0.095	17.312	83
perry	0.094	17.406	84
powell	0.093	17.499	85
long	0.092	17.591	86
patterson	0.092	17.684	87
hughes	0.092	17.776	88
flores	0.092	17.868	89
washington	0.092	17.959	90
butler	0.091	18.05	91
simmons	0.091	18.141	92
foster	0.091	18.231	93
gonzales	0.087	18.318	94
bryant	0.087	18.405	95
alexander	0.085	18.49	96
russell	0.085	18.574	97
griffin	0.084	18.659	98
diaz	0.084	18.742	99
hayes	0.083	18.825	100
myers	0.083	18.908	101
ford	0.082	18.99	102
hamilton	0.082	19.072	103
graham	0.082	19.154	104
sullivan	0.081	19.234	105
wallace	0.081	19.315	106
woods	0.08	19.395	107
cole	0.08	19.476	108
west	0.08	19.555	109
jordan	0.078	19.634	110
owens	0.078	19.711	111
reynolds	0.078	19.789	112
fisher	0.077	19.866	113
ellis	0.077	19.943	114
harrison	0.076	20.019	115
gibson	0.075	20.094	116
mcdonald	0.075	20.169	117
cruz	0.075	20.244	118
marshall	0.075	20.319	119
ortiz	0.075	20.394	120
gomez	0.075	20.468	121
murray	0.074	20.543	122
freeman	0.074	20.617	123
wells	0.073	20.69	124
webb	0.072	20.762	125
simpson	0.07	20.832	126
stevens	0.07	20.902	127
tucker	0.07	20.971	128
porter	0.069	21.041	129
hunter	0.069	21.11	130
hicks	0.069	21.178	131
crawford	0.068	21.246	132
henry	0.068	21.314	133
boyd	0.068	21.381	134
mason	0.068	21.449	135
morales	0.067	21.516	136
kennedy	0.067	21.582	137
warren	0.067	21.649	138
dixon	0.066	21.715	139
ramos	0.066	21.782	140
reyes	0.066	21.848	141
burns	0.065	21.913	142
gordon	0.065	21.978	143
shaw	0.065	22.043	144
holmes	0.065	22.108	145
rice	0.064	22.172	146
robertson	0.064	22.236	147
hunt	0.063	22.299	148
black	0.063	22.362	149
daniels	0.062	22.425	150
palmer	0.062	22.487	151
mills	0.061	22.547	152
nichols	0.06	22.607	153
grant	0.06	22.667	154
knight	0.06	22.727	155
ferguson	0.059	22.786	156
rose	0.059	22.845	157
stone	0.059	22.904	158
hawkins	0.059	22.963	159
dunn	0.058	23.022	160
perkins	0.058	23.079	161
hudson	0.058	23.137	162
spencer	0.057	23.194	163
gardner	0.057	23.251	164
stephens	0.057	23.308	165
payne	0.057	23.365	166
pierce	0.056	23.421	167
berry	0.056	23.477	168
matthews	0.056	23.533	169
arnold	0.056	23.589	170
wagner	0.055	23.645	171
willis	0.055	23.7	172
ray	0.055	23.755	173
watkins	0.055	23.811	174
olson	0.055	23.866	175
carroll	0.055	23.921	176
duncan	0.055	23.976	177
snyder	0.055	24.031	178
hart	0.054	24.086	179
cunningham	0.054	24.14	180
bradley	0.054	24.194	181
lane	0.054	24.247	182
andrews	0.054	24.301	183
ruiz	0.054	24.355	184
harper	0.054	24.408	185
fox	0.053	24.462	186
riley	0.053	24.515	187
armstrong	0.053	24.568	188
carpenter	0.053	24.621	189
weaver	0.053	24.673	190
greene	0.053	24.726	191
lawrence	0.052	24.779	192
elliott	0.052	24.831	193
chavez	0.052	24.883	194
sims	0.052	24.936	195
austin	0.052	24.988	196
peters	0.052	25.04	197
kelley	0.052	25.092	198
franklin	0.051	25.143	199
lawson	0.051	25.195	200
fields	0.051	25.246	201
gutierrez	0.051	25.297	202
ryan	0.051	25.348	203
schmidt	0.051	25.4	204
carr	0.051	25.451	205
vasquez	0.051	25.502	206
castillo	0.051	25.552	207
wheeler	0.051	25.603	208
chapman	0.05	25.653	209
oliver	0.05	25.703	210
montgomery	0.049	25.753	211
richards	0.049	25.802	212
williamson	0.049	25.851	213
johnston	0.049	25.9	214
banks	0.048	25.948	215
meyer	0.048	25.996	216
bishop	0.048	26.045	217
mccoy	0.048	26.093	218
howell	0.048	26.14	219
alvarez	0.048	26.188	220
morrison	0.048	26.235	221
hansen	0.047	26.283	222
fernandez	0.047	26.33	223
garza	0.047	26.377	224
harvey	0.047	26.424	225
little	0.046	26.47	226
burton	0.046	26.516	227
